Date,High,Low,Open,Close,Volume,Adj Close
2019-09-26,22184.91015625,21986.240234375,22160.51953125,22048.240234375,81600000.0,22048.240234375
2019-09-27,21955.7890625,21733.689453125,21934.9296875,21878.900390625,76400000.0,21878.900390625
2019-09-30,21811.98046875,21666.599609375,21793.830078125,21755.83984375,69900000.0,21755.83984375
2019-10-01,21938.76953125,21811.98046875,21831.439453125,21885.240234375,62300000.0,21885.240234375
2019-10-02,21795.009765625,21725.23046875,21744.619140625,21778.609375,63300000.0,21778.609375
2019-10-03,21437.740234375,21277.359375,21422.220703125,21341.740234375,67700000.0,21341.740234375
2019-10-04,21410.19921875,21276.009765625,21316.1796875,21410.19921875,57700000.0,21410.19921875
2019-10-07,21475.279296875,21328.259765625,21445.73046875,21375.25,47400000.0,21375.25
2019-10-08,21629.240234375,21483.1796875,21494.48046875,21587.779296875,60800000.0,21587.779296875
2019-10-09,21467.76953125,21359.83984375,21359.83984375,21456.380859375,55400000.0,21456.380859375
2019-10-10,21601.4609375,21308.880859375,21456.26953125,21551.98046875,59900000.0,21551.98046875
2019-10-11,21820.76953125,21658.26953125,21749.9296875,21798.869140625,67400000.0,21798.869140625
2019-10-15,22219.630859375,22049.7109375,22063.7109375,22207.2109375,74500000.0,22207.2109375
2019-10-16,22615.470703125,22434.349609375,22479.5703125,22472.919921875,78700000.0,22472.919921875
2019-10-17,22522.390625,22424.919921875,22451.150390625,22451.859375,57800000.0,22451.859375
2019-10-18,22649.849609375,22466.259765625,22528.560546875,22492.6796875,59200000.0,22492.6796875
2019-10-21,22581.279296875,22515.73046875,22541.220703125,22548.900390625,48400000.0,22548.900390625
2019-10-23,22648.810546875,22457.890625,22619.76953125,22625.380859375,68000000.0,22625.380859375
2019-10-24,22780.990234375,22704.330078125,22725.439453125,22750.599609375,61300000.0,22750.599609375
2019-10-25,22819.919921875,22715.130859375,22753.240234375,22799.810546875,57200000.0,22799.810546875
2019-10-28,22896.220703125,22830.5703125,22854.439453125,22867.26953125,48100000.0,22867.26953125
2019-10-29,23008.4296875,22935.349609375,22950.7890625,22974.130859375,72900000.0,22974.130859375
2019-10-30,22961.23046875,22827.9296875,22953.169921875,22843.119140625,101600000.0,22843.119140625
2019-10-31,22988.80078125,22875.5,22910.099609375,22927.0390625,78300000.0,22927.0390625
2019-11-01,22852.720703125,22705.599609375,22730.490234375,22850.76953125,65400000.0,22850.76953125
2019-11-05,23328.51953125,23090.939453125,23118.7890625,23251.990234375,102100000.0,23251.990234375
2019-11-06,23352.560546875,23246.5703125,23343.509765625,23303.8203125,77400000.0,23303.8203125
2019-11-07,23336.0,23253.3203125,23283.140625,23330.3203125,70900000.0,23330.3203125
2019-11-08,23591.08984375,23313.41015625,23550.0390625,23391.869140625,94600000.0,23391.869140625
2019-11-11,23471.8203125,23323.01953125,23422.130859375,23331.83984375,61500000.0,23331.83984375
2019-11-12,23545.69921875,23312.25,23336.369140625,23520.009765625,63000000.0,23520.009765625
2019-11-13,23452.630859375,23270.9296875,23439.25,23319.869140625,63400000.0,23319.869140625
2019-11-14,23360.060546875,23062.16015625,23325.5,23141.55078125,79900000.0,23141.55078125
2019-11-15,23340.76953125,23121.58984375,23160.529296875,23303.3203125,72200000.0,23303.3203125
2019-11-18,23420.619140625,23271.2890625,23304.25,23416.759765625,57300000.0,23416.759765625
